,timestamp,length,ra
0,2025-05-07 16:40:08.055354,28,f0:57:a6:a6:b6:b6
1,2025-05-07 16:40:08.055529,28,f0:57:a6:a6:b6:b6
2,2025-05-07 16:40:08.057955,28,f0:57:a6:a6:b6:b6
3,2025-05-07 16:40:08.061946,28,f0:57:a6:a6:b6:b6
4,2025-05-07 16:40:08.062086,28,f0:57:a6:a6:b6:b6
5,2025-05-07 16:40:08.062223,28,f0:57:a6:a6:b6:b6
6,2025-05-07 16:40:08.064968,70,f0:57:a6:a6:b6:b6
7,2025-05-07 16:40:08.065856,28,f0:57:a6:a6:b6:b6
8,2025-05-07 16:40:08.066011,28,f0:57:a6:a6:b6:b6
9,2025-05-07 16:40:08.066175,28,f0:57:a6:a6:b6:b6
10,2025-05-07 16:40:08.068575,28,f0:57:a6:a6:b6:b6
11,2025-05-07 16:40:08.068985,70,f0:57:a6:a6:b6:b6
12,2025-05-07 16:40:08.072921,28,f0:57:a6:a6:b6:b6
13,2025-05-07 16:40:08.073119,28,f0:57:a6:a6:b6:b6
14,2025-05-07 16:40:08.075159,28,f0:57:a6:a6:b6:b6
15,2025-05-07 16:40:08.075339,70,f0:57:a6:a6:b6:b6
16,2025-05-07 16:40:08.075524,70,f0:57:a6:a6:b6:b6
17,2025-05-07 16:40:08.075699,28,f0:57:a6:a6:b6:b6
18,2025-05-07 16:40:08.075881,28,f0:57:a6:a6:b6:b6
19,2025-05-07 16:40:08.076116,70,f0:57:a6:a6:b6:b6
20,2025-05-07 16:40:08.078518,28,f0:57:a6:a6:b6:b6
21,2025-05-07 16:40:08.078676,28,f0:57:a6:a6:b6:b6
22,2025-05-07 16:40:08.080986,28,f0:57:a6:a6:b6:b6
23,2025-05-07 16:40:08.081179,28,f0:57:a6:a6:b6:b6
24,2025-05-07 16:40:08.081317,70,f0:57:a6:a6:b6:b6
25,2025-05-07 16:40:08.081556,28,f0:57:a6:a6:b6:b6
26,2025-05-07 16:40:08.081692,70,f0:57:a6:a6:b6:b6
