====== Start training======
[epoch:1, iter:1] Loss: 1.141 | Acc: 18.750% 
[epoch:1, iter:2] Loss: 1.085 | Acc: 37.500% 
[epoch:1, iter:3] Loss: 1.091 | Acc: 39.583% 
[epoch:1, iter:4] Loss: 1.106 | Acc: 45.312% 
[epoch:1, iter:5] Loss: 1.090 | Acc: 48.750% 
[epoch:1, iter:6] Loss: 1.053 | Acc: 51.042% 
[epoch:1, iter:7] Loss: 1.024 | Acc: 52.679% 
[epoch:1, iter:8] Loss: 0.976 | Acc: 56.250% 
[epoch:1, iter:9] Loss: 0.957 | Acc: 58.333% 
[epoch:1, iter:10] Loss: 0.897 | Acc: 61.875% 
[epoch:1, iter:11] Loss: 0.920 | Acc: 62.500% 
[epoch:1, iter:12] Loss: 0.920 | Acc: 63.542% 
[epoch:1, iter:13] Loss: 0.906 | Acc: 63.462% 
[epoch:1, iter:14] Loss: 0.915 | Acc: 62.054% 
[epoch:1, iter:15] Loss: 0.900 | Acc: 62.083% 
[epoch:1, iter:16] Loss: 0.899 | Acc: 62.891% 
[epoch:1, iter:17] Loss: 0.881 | Acc: 64.338% 
[epoch:1, iter:18] Loss: 0.884 | Acc: 63.542% 
[epoch:1, iter:19] Loss: 0.874 | Acc: 63.816% 
[epoch:1, iter:20] Loss: 0.867 | Acc: 64.062% 
[epoch:1, iter:21] Loss: 0.854 | Acc: 65.179% 
[epoch:1, iter:22] Loss: 0.840 | Acc: 65.909% 
[epoch:1, iter:23] Loss: 0.825 | Acc: 66.576% 
[epoch:1, iter:24] Loss: 0.826 | Acc: 66.146% 
[epoch:1, iter:25] Loss: 0.823 | Acc: 65.500% 
[epoch:1, iter:26] Loss: 0.816 | Acc: 65.625% 
[epoch:1, iter:27] Loss: 0.803 | Acc: 66.435% 
[epoch:1, iter:28] Loss: 0.797 | Acc: 66.071% 
[epoch:1, iter:29] Loss: 0.786 | Acc: 66.595% 
[epoch:1, iter:30] Loss: 0.793 | Acc: 66.526% 
Best model saved with acc: 58.33%
[epoch:2, iter:1] Loss: 0.614 | Acc: 81.250% 
[epoch:2, iter:2] Loss: 0.580 | Acc: 78.125% 
[epoch:2, iter:3] Loss: 0.597 | Acc: 72.917% 
[epoch:2, iter:4] Loss: 0.692 | Acc: 68.750% 
[epoch:2, iter:5] Loss: 0.662 | Acc: 70.000% 
[epoch:2, iter:6] Loss: 0.649 | Acc: 69.792% 
[epoch:2, iter:7] Loss: 0.622 | Acc: 70.536% 
[epoch:2, iter:8] Loss: 0.654 | Acc: 68.750% 
[epoch:2, iter:9] Loss: 0.644 | Acc: 68.750% 
[epoch:2, iter:10] Loss: 0.626 | Acc: 71.250% 
[epoch:2, iter:11] Loss: 0.614 | Acc: 71.591% 
[epoch:2, iter:12] Loss: 0.617 | Acc: 71.875% 
[epoch:2, iter:13] Loss: 0.602 | Acc: 73.558% 
[epoch:2, iter:14] Loss: 0.596 | Acc: 73.214% 
[epoch:2, iter:15] Loss: 0.596 | Acc: 72.917% 
[epoch:2, iter:16] Loss: 0.575 | Acc: 74.219% 
[epoch:2, iter:17] Loss: 0.568 | Acc: 73.897% 
[epoch:2, iter:18] Loss: 0.555 | Acc: 75.347% 
[epoch:2, iter:19] Loss: 0.547 | Acc: 75.658% 
[epoch:2, iter:20] Loss: 0.557 | Acc: 75.625% 
[epoch:2, iter:21] Loss: 0.570 | Acc: 75.298% 
[epoch:2, iter:22] Loss: 0.630 | Acc: 73.295% 
[epoch:2, iter:23] Loss: 0.629 | Acc: 72.826% 
