====== Start training======
[epoch:1, iter:1] Loss: 1.111 | Acc: 18.750% 
[epoch:1, iter:2] Loss: 1.135 | Acc: 31.250% 
[epoch:1, iter:3] Loss: 1.050 | Acc: 41.667% 
[epoch:1, iter:4] Loss: 0.995 | Acc: 50.000% 
[epoch:1, iter:5] Loss: 0.948 | Acc: 56.250% 
[epoch:1, iter:6] Loss: 0.877 | Acc: 60.417% 
[epoch:1, iter:7] Loss: 0.858 | Acc: 62.500% 
[epoch:1, iter:8] Loss: 0.837 | Acc: 62.500% 
[epoch:1, iter:9] Loss: 0.831 | Acc: 63.194% 
[epoch:1, iter:10] Loss: 0.808 | Acc: 63.125% 
[epoch:1, iter:11] Loss: 0.811 | Acc: 63.068% 
[epoch:1, iter:12] Loss: 0.774 | Acc: 65.104% 
[epoch:1, iter:13] Loss: 0.749 | Acc: 67.308% 
[epoch:1, iter:14] Loss: 0.720 | Acc: 69.196% 
[epoch:1, iter:15] Loss: 0.696 | Acc: 70.833% 
[epoch:1, iter:16] Loss: 0.691 | Acc: 71.094% 
[epoch:1, iter:17] Loss: 0.673 | Acc: 72.426% 
[epoch:1, iter:18] Loss: 0.649 | Acc: 73.611% 
[epoch:1, iter:19] Loss: 0.629 | Acc: 74.671% 
[epoch:1, iter:20] Loss: 0.606 | Acc: 75.938% 
[epoch:1, iter:21] Loss: 0.589 | Acc: 76.488% 
[epoch:1, iter:22] Loss: 0.588 | Acc: 76.989% 
[epoch:1, iter:23] Loss: 0.580 | Acc: 76.902% 
[epoch:1, iter:24] Loss: 0.560 | Acc: 77.865% 
[epoch:1, iter:25] Loss: 0.546 | Acc: 78.500% 
[epoch:1, iter:26] Loss: 0.529 | Acc: 79.327% 
[epoch:1, iter:27] Loss: 0.514 | Acc: 79.861% 
[epoch:1, iter:28] Loss: 0.505 | Acc: 80.357% 
[epoch:1, iter:29] Loss: 0.490 | Acc: 81.034% 
[epoch:1, iter:30] Loss: 0.476 | Acc: 81.667% 
Best model saved with acc: 86.67%
Best Test Acc: 86.667%
[epoch:2, iter:1] Loss: 0.086 | Acc: 100.000% 
[epoch:2, iter:2] Loss: 0.117 | Acc: 96.875% 
[epoch:2, iter:3] Loss: 0.108 | Acc: 97.917% 
[epoch:2, iter:4] Loss: 0.151 | Acc: 95.312% 
[epoch:2, iter:5] Loss: 0.138 | Acc: 95.000% 
[epoch:2, iter:6] Loss: 0.123 | Acc: 95.833% 
[epoch:2, iter:7] Loss: 0.182 | Acc: 94.643% 
[epoch:2, iter:8] Loss: 0.174 | Acc: 94.531% 
[epoch:2, iter:9] Loss: 0.183 | Acc: 93.750% 
