====== Start training======
[epoch:1, iter:1] Loss: 1.723 | Acc: 40.625% 
[epoch:1, iter:2] Loss: 2.686 | Acc: 51.562% 
[epoch:1, iter:3] Loss: 2.094 | Acc: 56.250% 
[epoch:1, iter:4] Loss: 1.846 | Acc: 53.125% 
[epoch:1, iter:5] Loss: 1.634 | Acc: 56.875% 
[epoch:1, iter:6] Loss: 1.539 | Acc: 58.854% 
[epoch:1, iter:7] Loss: 1.466 | Acc: 57.843% 
[epoch:2, iter:1] Loss: 1.027 | Acc: 43.750% 
[epoch:2, iter:2] Loss: 0.928 | Acc: 54.688% 
[epoch:2, iter:3] Loss: 0.859 | Acc: 60.417% 
[epoch:2, iter:4] Loss: 0.865 | Acc: 58.594% 
[epoch:2, iter:5] Loss: 0.818 | Acc: 60.625% 
[epoch:2, iter:6] Loss: 0.786 | Acc: 63.021% 
[epoch:2, iter:7] Loss: 0.770 | Acc: 62.745% 
[epoch:3, iter:1] Loss: 0.875 | Acc: 59.375% 
[epoch:3, iter:2] Loss: 0.721 | Acc: 70.312% 
[epoch:3, iter:3] Loss: 0.690 | Acc: 68.750% 
[epoch:3, iter:4] Loss: 0.699 | Acc: 67.969% 
[epoch:3, iter:5] Loss: 0.637 | Acc: 72.500% 
[epoch:3, iter:6] Loss: 0.605 | Acc: 73.958% 
[epoch:3, iter:7] Loss: 0.655 | Acc: 72.059% 
[epoch:4, iter:1] Loss: 0.613 | Acc: 78.125% 
[epoch:4, iter:2] Loss: 0.625 | Acc: 73.438% 
[epoch:4, iter:3] Loss: 0.644 | Acc: 72.917% 
[epoch:4, iter:4] Loss: 0.614 | Acc: 75.000% 
[epoch:4, iter:5] Loss: 0.599 | Acc: 75.000% 
[epoch:4, iter:6] Loss: 0.569 | Acc: 76.042% 
[epoch:4, iter:7] Loss: 0.626 | Acc: 75.490% 
Best model saved with acc: 58.82%
[epoch:5, iter:1] Loss: 0.520 | Acc: 81.250% 
[epoch:5, iter:2] Loss: 0.604 | Acc: 75.000% 
[epoch:5, iter:3] Loss: 0.563 | Acc: 78.125% 
[epoch:5, iter:4] Loss: 0.574 | Acc: 76.562% 
[epoch:5, iter:5] Loss: 0.569 | Acc: 76.250% 
[epoch:5, iter:6] Loss: 0.555 | Acc: 76.042% 
[epoch:5, iter:7] Loss: 0.559 | Acc: 76.471% 
Best model saved with acc: 68.63%
[epoch:6, iter:1] Loss: 0.531 | Acc: 81.250% 
[epoch:6, iter:2] Loss: 0.492 | Acc: 81.250% 
[epoch:6, iter:3] Loss: 0.491 | Acc: 81.250% 
[epoch:6, iter:4] Loss: 0.522 | Acc: 81.250% 
[epoch:6, iter:5] Loss: 0.518 | Acc: 80.625% 
[epoch:6, iter:6] Loss: 0.529 | Acc: 79.688% 
[epoch:6, iter:7] Loss: 0.547 | Acc: 79.412% 
[epoch:7, iter:1] Loss: 0.552 | Acc: 84.375% 
[epoch:7, iter:2] Loss: 0.597 | Acc: 79.688% 
[epoch:7, iter:3] Loss: 0.590 | Acc: 77.083% 
[epoch:7, iter:4] Loss: 0.568 | Acc: 77.344% 
[epoch:7, iter:5] Loss: 0.560 | Acc: 77.500% 
[epoch:7, iter:6] Loss: 0.538 | Acc: 78.646% 
[epoch:7, iter:7] Loss: 0.527 | Acc: 78.922% 
Best model saved with acc: 70.59%
[epoch:8, iter:1] Loss: 0.267 | Acc: 100.000% 
[epoch:8, iter:2] Loss: 0.398 | Acc: 89.062% 
[epoch:8, iter:3] Loss: 0.485 | Acc: 82.292% 
[epoch:8, iter:4] Loss: 0.519 | Acc: 78.125% 
[epoch:8, iter:5] Loss: 0.514 | Acc: 80.000% 
[epoch:8, iter:6] Loss: 0.531 | Acc: 78.646% 
[epoch:8, iter:7] Loss: 0.521 | Acc: 78.431% 
[epoch:9, iter:1] Loss: 0.513 | Acc: 81.250% 
[epoch:9, iter:2] Loss: 0.545 | Acc: 78.125% 
[epoch:9, iter:3] Loss: 0.520 | Acc: 80.208% 
[epoch:9, iter:4] Loss: 0.531 | Acc: 79.688% 
[epoch:9, iter:5] Loss: 0.509 | Acc: 81.250% 
[epoch:9, iter:6] Loss: 0.527 | Acc: 80.729% 
[epoch:9, iter:7] Loss: 0.522 | Acc: 80.392% 
[epoch:10, iter:1] Loss: 0.453 | Acc: 84.375% 
[epoch:10, iter:2] Loss: 0.519 | Acc: 78.125% 
[epoch:10, iter:3] Loss: 0.526 | Acc: 79.167% 
[epoch:10, iter:4] Loss: 0.514 | Acc: 80.469% 
[epoch:10, iter:5] Loss: 0.523 | Acc: 80.000% 
[epoch:10, iter:6] Loss: 0.528 | Acc: 79.167% 
[epoch:10, iter:7] Loss: 0.545 | Acc: 78.431% 
Best Test Acc: 70.588%
